P,um,Fluid,SAT,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
2000000,49.6,Water,Pressure,0.03272,22.4132,31.647,0.000685,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.01653,8.5956,17.75193333,0.00052,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00941,6.44585,17.42183333,0.000685,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00557,3.81545,10.956575,0.000685,0.3,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.0096,3.84,9.748,0.0004,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00522,2.7144,9.002933333,0.00052,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00352,2.4112,7.421975,0.000685,0.4,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00301,1.5652,7.2852,0.00052,0.3,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.0052,1.924,6.229566667,0.00037,0.1,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00211,1.0972,5.577,0.00052,0.4,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.0033,1.32,5.288666667,0.0004,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00201,0.804,4.122666667,0.0004,0.3,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00151,0.604,3.213333333,0.0004,0.4,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00184,0.6808,3.025366667,0.00037,0.2,0.006,7,0.000625,0.001,0.6,1000
2000000,49.6,Water,Pressure,0.00103,0.3811,2.068916667,0.00037,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.02088,17.24688,41.74053333,0.000826,0.1,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00601,4.96426,16.78845,0.000826,0.2,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.01066,6.58788,12.88118,0.000618,0.1,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00666,3.32334,9.779568333,0.000499,0.1,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00305,2.5193,8.32608,0.000826,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00343,2.11974,7.54681,0.000618,0.2,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00186,1.14948,6.11099,0.000618,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00214,1.76764,5.371753333,0.000826,0.4,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00355,1.55135,4.621275,0.000437,0.1,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00123,0.76014,3.93769,0.000618,0.4,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00225,1.12275,3.789073333,0.000499,0.2,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00123,0.53751,2.811366667,0.000437,0.2,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00125,0.62375,2.493336667,0.000499,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00091,0.45409,2.21057,0.000499,0.4,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00062,0.27094,2.070651667,0.000437,0.3,0.006,7,0.000625,0.001,0.6,1000
1000000,36.1,Water,Pressure,0.00044,0.19228,1.456666667,0.000437,0.4,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.01375,18.5625,42.804,0.00135,0.1,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00453,6.1155,19.9395,0.00135,0.2,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00796,8.1192,19.142,0.00102,0.1,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00472,3.68632,11.83865833,0.000781,0.1,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00289,2.9478,11.1826,0.00102,0.2,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00247,3.3345,10.13175,0.00135,0.3,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00157,1.6014,6.46,0.00102,0.3,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00157,2.1195,5.64075,0.00135,0.4,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00171,1.33551,5.338135,0.000781,0.2,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00251,1.60389,5.309025,0.000639,0.1,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.001,1.02,4.08,0.00102,0.4,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.001,0.781,3.560058333,0.000781,0.3,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00087,0.55593,2.465475,0.000639,0.2,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00061,0.47641,1.828841667,0.000781,0.4,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00045,0.28755,1.389825,0.000639,0.3,0.006,7,0.000625,0.001,0.6,1000
500000,26.2,Water,Pressure,0.00033,0.21087,1.102275,0.000639,0.4,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00916,20.61,32.5575,0.00225,0.1,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00579,9.9588,29.91366667,0.00172,0.1,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00348,7.83,20.0325,0.00225,0.2,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.0036,4.968,14.7338,0.00138,0.1,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00215,3.698,12.98026667,0.00172,0.2,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00196,4.41,10.45875,0.00225,0.3,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.0011,1.518,6.4952,0.00138,0.2,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00124,2.1328,5.936866667,0.00172,0.3,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00121,2.7225,5.0625,0.00225,0.4,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00215,1.935,4.353,0.0009,0.1,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.0007,0.966,3.657,0.00138,0.3,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00082,1.4104,3.124666667,0.00172,0.4,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00085,0.765,3.0525,0.0009,0.2,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00045,0.621,2.5139,0.00138,0.4,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00044,0.396,2.2485,0.0009,0.3,0.006,7,0.000625,0.001,0.6,1000
200000,17.2,Water,Pressure,0.00033,0.297,1.5675,0.0009,0.4,0.006,7,0.000625,0.001,0.6,1000
